handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Product,Fuji Apple(CHN),,9db03f_c872e98224ed4afb87773bffcfcfdea4~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,88/113p;64/72/80p;125/138/150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,80.0,true,,,InStock,,,,88/113p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,112.0,true,,,InStock,,,,64/72/80p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6ca42be9-77a8-ea80-937a-e7fd238776a2,Variant,,,,,,,,78.0,true,,,InStock,,,,125/138/150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Product,Fuji Apple SA,,9db03f_e3e93d3ed0654ef6b5467d9faf19d960~mv2.jpg,,,,0.0,,true,PERCENT,0.0,InStock,0.0,Weight,DROP_DOWN,100;150;180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,0.0,true,,,InStock,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,118.0,true,,,InStock,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_952696b2-f620-9b39-e2e6-d87775753c68,Variant,,,,,,,,108.0,true,,,InStock,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_ba11f3eb-f0e3-3eb7-973b-88e88692a671,Product,Royal Gala Apple(SA)/135p,,9db03f_2273f112c4d141808cd8b02d2b898566~mv2.png,,,,102.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_94c17ad3-c0a0-a51d-7e12-7d7dc1927ff8,Product,Honey Mandarin(CHN)/84,,9db03f_fffe319d5c814799bcb87c067e84f2ab~mv2.jpg,,,,55.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
