categoryID,categoryName,subCategoryName
1,VEGETABLES,
2,VEGETABLES,Fruity Vegetables
3,VEGETABLES,Potato type Vegetables
4,VEGETABLES,Vegetable Beans
5,VEGETABLES,Mushroom
6,VEGETABLES,Leafy Vegetables
7,MEAT & POULTRY,
8,MEAT & POULTRY,Turkey
9,MEAT & POULTRY,Duck
10,MEAT & POULTRY,Quail
11,MEAT & POULTRY,Ostrich
12,MEAT & POULTRY,Venicon Meat
13,MEAT & POULTRY,Chicken
14,MEAT & POULTRY,Lamb & Mutton
15,MEAT & POULTRY,beef
16,MEAT & POULTRY,Egg
17,SEAFOOD,Shell
18,SEAFOOD,Fish
19,SEAFOOD,Grab
20,SEAFOOD,Fillet Fish
21,SEAFOOD,Prawn
22,SEAFOOD,Squid
23,SEAFOOD,
24,FRUIT,
