variantID,variantName,variantPrice,variantImage,productID
1,Fuji Apple(CHN)(88/113p),80,media/Site Files/Apples-Red.jpg,1
2,Fuji Apple(CHN)(64/72/80p),112,media/Site Files/Apples-Red.jpg,1
3,Fuji Apple(CHN)(125/138/150),78,media/Site Files/Apples-Red.jpg,1
4,Fuji Apple SA(100),0,media/Site Files/Fuji Apple Sa.jpg,2
5,Fuji Apple SA(150),118,media/Site Files/Fuji Apple Sa.jpg,2
6,Fuji Apple SA(180),108,media/Site Files/Fuji Apple Sa.jpg,2
7,Royal Gala Apple(SA)/135p,102,media/Site Files/royal-gala-apples--sa---bulk.webp.png,3
8,Honey Mandarin(CHN)/84,55,media/Site Files/honey mandarin.jpg,4
9,Valencia Orange (EGY)(72),55,media/Site Files/valencia.png,5
10,Valencia Orange (EGY)(88),55,media/Site Files/valencia.png,5
11,Valencia Orange (EGY)(100),55,media/Site Files/valencia.png,5
12,Century Pear(CHN)/42p,88,media/Site Files/cncenturypear.jpg,6
13,Fragrant Pear(CHN)/7kg/XL,65,media/Site Files/Fragrant.jfif.jpg,7
14,Ya Pear(CHN)(80p),55,media/Site Files/ya pear.png,8
15,Ya Pear(CHN)(96p),50,media/Site Files/ya pear.png,8
16,Ya Pear(CHN)(112p),45,media/Site Files/ya pear.png,8
17,Gong Pear(CHN)/36p,55,media/Site Files/gong-pear-1-kg.jpg,9
18,Sonaka Grape(IND)/500g*10p,0,media/Site Files/Grapes-Sonaka-1.jpg,10
19,Lychee(CHN)(1kg*12p),0,media/Site Files/Lychee-Fruit.jpg,11
20,Lychee(CHN)(9kg),0,media/Site Files/Lychee-Fruit.jpg,11
21,Cherry(USA)/5kg,0,media/Site Files/cherry.jpg,12
22,Hami Melon CHINA/9kg,60,media/Site Files/hami melon china.jpeg,13
23,Lemon(CHN(75)),85,media/Site Files/0007137_yellow-lemon-nimbu-big-australia_600.jpeg,14
24,Lemon(SA(113)),88,media/Site Files/0007137_yellow-lemon-nimbu-big-australia_600.jpeg,14
25,BANGLADESH/Potato/500g*10p,13,media/Site Files/potato bangladesh.jpg,15
26,Big Shallot(IND)/500g*10p,15,media/Site Files/RedOnions_2x.jpg,16
27,Dried Chilli(IND)/100g*10p,18,media/Site Files/17480769.jpg,17
28,Sweet Corn(25packet*2pcs),68,media/Site Files/sweet corn.jfif.jpg,18
29,Sweet Tamarind(1kg*10p),135,media/Site Files/Swwt-tamarind-e1553651180248.jpg,19
30,Dried Seaweed(50g*30p),65,media/Site Files/seaweeds.jpg,20
31,GroundNut(5kg),50,media/Site Files/138071379-peanut-isolated-on-white-background-.jpg,21
32,Salt Plum(168g*48),80,media/Site Files/salt plum.jpg,22
33,Salt Plum(2kg*6),85,media/Site Files/salt plum.jpg,22
34,Sichuan Whole(250g*50p),0,media/Site Files/sichuan.jpeg,23
35,Sichuan Whole(38kg),0,media/Site Files/sichuan.jpeg,23
36,Garlic Pulp,270,media/Site Files/garlic pulp.webp.png,24
37,Lotus Seed(100g*50p),130,media/Site Files/Tangy_Lotus_Seeds_2x.jpg,25
38,Ginkgo Nut(80g*100p),95,media/Site Files/ginkgo-nuts-1598941156-5570755.jpeg,26
39,Bamboo Shoot (10kg),130,media/Site Files/bamboo shoot.jpg,27
40,Fresh Black Fungus(200g*25p),65,media/Site Files/black fungus.jfif.jpg,28
41,Wax Gourd(1kg),4,media/Site Files/wax-gourd-seeds-benincasa-hispida.jpg,29
42,Arrow Root (10kg),0,media/Site Files/arrow root-910x1155.jpg,30
43,Yacon(7kg),0,media/Site Files/yacon_jpg3.jpg,31
44,Baby Qing Bak(4kg),50,media/Site Files/china-baby-qing-bak-200g-pack.jpg,32
45,Baby Dou Bak (4kg),50,media/Site Files/Dou Bak.jpg,33
46,Burdock Root (10kg),48,media/Site Files/RMLEG100BURDOCKROOT-100-g-Burdock-Root-Liquid-Extract-_91_Glycerine-Based_93_-L-20191108_ml.jpg,34
47,Huai Shan(10kg)(Normal),70,media/Site Files/1626242873_huai shan (1).png,35
48,Huai Shan(10kg)(Vacuum),60,media/Site Files/1626242873_huai shan (1).png,35
49,Mixed Mushroom(400g*20p),95,media/Site Files/cultivated_mushroom_mix.jpg,36
50,Snow White Mushroom(150g*40p),75,media/Site Files/SNOW-WHITE-MUSHROOM-150G-1-980x980.jpg,37
51,Sweet Pea(130g*30p),53,media/Site Files/sweet-peas.jpg,38
52,Garlic Sprout (10kg),0,media/Site Files/garlic sprout.jfif.jpg,39
53,Lettuce Shoot(10kg),0,media/Site Files/shoot.jpg,40
54,Spinach(200g*20p),60,media/Site Files/spinach (1).jpg,41
55,Mak Choy (300g*13p),50,media/Site Files/yau-mak-choy-500g.jpg,42
56,Stem Kale(10kg),80,media/Site Files/Easy-Way-Remove-Kale-Stems.jpg,43
57,Kale(5.5kg),65,media/Site Files/kale.jpg,43
58,Baby Kale(4kg),60,media/Site Files/8454 (1).png,43
59,Baby Wong Bok(Small),25,media/Site Files/wong bok.jpg,44
60,CHN Wong Bok(Large),65,media/Site Files/wong bok.jpg,44
61,Purple Cabbage(10kg),65,media/Site Files/kubis merah.jpg,45
62,CHINA Cabbage(20kg),22,media/Site Files/B4433273-C975-4B4F-BF5B-95A69B2FE950_4_5005_c-e1593064273205.jpg,46
63,VIET Carrot(10kg),21,media/Site Files/carrot vietname.jpg,47
64,VIET Carrot(4.5kg),12,media/Site Files/carrot vietname.jpg,47
65,VIET Sweet Potato/10kg(Yellow),65,media/Site Files/Sweet-Potato-Yellow.jpg,48
66,VIET Sweet Potato/10kg(Purple),65,media/Site Files/Sweet-Potato-Purple-1.jpg,48
67,VIET Sweet Potato/5kg(Yellow),38,media/Site Files/Sweet-Potato-Yellow.jpg,49
68,VIET Sweet Potato/5kg(Purple),38,media/Site Files/Sweet-Potato-Purple-1.jpg,49
69,JAPAN Huai Shan (10kg),290,media/Site Files/Fresh-Chinese-yam.jpg,50
70,USA Baby Carrot(250kg*40p),180,media/Site Files/baby carrot.png,51
71,CHN Baby Pumpkin (2kg),0,media/Site Files/baby pumpkin.jpg,52
72,AUS Purple Carrot(9kg),80,media/Site Files/carrot puplr.png,53
73,AUS Purple Carrot(500g*15p),,media/Site Files/carrot puplr.png,53
